rank,frequency,word,pos
1137,-1,숨,명사
1138,-1,행사,명사
1139,-1,깨닫다,동사
1140,-1,누나,명사
1141,-1,신,명사
1142,-1,왕,명사
1143,-1,점점,부사
1144,-1,질문,명사
1145,-1,특별,명사
1146,-1,판단,명사
1147,-1,해결하다,동사
1148,-1,거리,명사
1149,-1,계속하다,동사
1150,-1,그치다,동사
1151,-1,근처,명사
1152,-1,너무나,부사
1153,-1,높이다,동사
1154,-1,부정,명사
1155,-1,사정,명사
1158,-1,도대체,부사
1159,-1,막,부사
1160,-1,부모님,명사
1161,-1,수출,명사
1163,-1,계시다,동사
1164,-1,그,감탄사
1166,-1,자르다,동사
1167,-1,데리다,동사
1169,-1,무척,부사
1170,-1,비용,명사
1171,-1,비행기,명사
1172,-1,옳다,형용사
1173,-1,원래,명사
1174,-1,처리,명사
1175,-1,최초,명사
1176,-1,꼴,명사
1177,-1,놀이,명사
1178,-1,뜨겁다,형용사
1179,-1,뿌리,명사
1180,-1,수입,명사
1183,-1,그리하여,부사
1184,-1,낮,명사
1186,-1,일찍,부사
1187,-1,직원,명사
1188,-1,찍다,동사
1189,-1,가볍다,형용사
1190,-1,내부,명사
1191,-1,다소,부사
1192,-1,상대,명사
1193,-1,오전,명사
1194,-1,피부,명사
1195,-1,가게,명사
1196,-1,가득,부사
1197,-1,그저,부사
1199,-1,벽,명사
1200,-1,장군,명사
1201,-1,무역,명사
1202,-1,부담,명사
1203,-1,약속,명사
1204,-1,인사,명사
1205,-1,줄,명사
1206,-1,쳐다보다,동사
1207,-1,충분히,부사
1209,-1,신체,명사
1210,-1,에너지,명사
1211,-1,위원,명사
1212,-1,정리하다,동사
1213,-1,집안,명사
1214,-1,배경,명사
1215,-1,죽이다,동사
1217,-1,단순하다,형용사
1218,-1,반대,명사
1219,-1,법칙,명사
1220,-1,빠지다,동사
1221,-1,소금,명사
1222,-1,오염,명사
1224,-1,자전거,명사
1225,-1,참여하다,동사
1226,-1,탓,명사
1227,-1,푸르다,형용사
1228,-1,걔,부정사
1229,-1,그래,부정사
1230,-1,목,명사
1231,-1,발표,명사
1232,-1,범죄,명사
1234,-1,흔들다,동사
1235,-1,기초,명사
1236,-1,논리,명사
1237,-1,드라마,명사
1238,-1,뽑다,동사
1239,-1,피우다,동사
1240,-1,감각,명사
1242,-1,미리,부사
1243,-1,부족하다,형용사
1244,-1,인사,명사
1245,-1,저희,대명사
1246,-1,진행되다,동사
1249,-1,교통,명사
1250,-1,기구,명사
1254,-1,오랜,관사
1255,-1,젊은이,명사
1256,-1,후보,명사
1258,-1,거리,명사
1259,-1,과제,명사
1260,-1,근거,명사
1261,-1,기록하다,동사
1262,-1,다가오다,동사
1263,-1,불다,동사
1264,-1,시각,명사
1265,-1,이끌다,동사
1266,-1,종합,명사
1267,-1,한글,명사
1268,-1,가을,명사
1269,-1,개발하다,동사
1270,-1,내일,명사
1271,-1,떨다,동사
1272,-1,매일,부사
1273,-1,손가락,명사
